"Dataset","K","Precision","Recall","F1"
"insilico_size10_1_goldstandard_matrix.tsv",6,0,0,0
"insilico_size10_1_knockdowns.tsv",5,0,0,0
"insilico_size100_3_multifactorial.tsv",50,0,0,0
"insilico_size100_multifactorial_3_goldstandard_matrix.tsv",50,0,0,0
"insilico_size10_1_goldstandard_matrix.tsv",6,0,0,0
"insilico_size10_1_knockouts.tsv",5,0,0,0
"insilico_size10_1_goldstandard_matrix.tsv",6,0,0,0
"insilico_size10_1_multifactorial.tsv",5,0,0,0
"insilico_size100_1_goldstandard_matrix.tsv",50,0,0,0
"insilico_size100_1_knockdowns.tsv",50,0,0,0
"insilico_size100_1_goldstandard_matrix.tsv",50,0,0,0
"insilico_size100_1_knockouts.tsv",50,0,0,0
"insilico_size100_1_multifactorial.tsv",50,0,0,0
"insilico_size100_multifactorial_1_goldstandard_matrix.tsv",50,0,0,0
"insilico_size100_2_goldstandard_matrix.tsv",50,0,0,0
"insilico_size100_2_knockdowns.tsv",50,0,0,0
"insilico_size100_2_goldstandard_matrix.tsv",50,0,0,0
"insilico_size100_2_knockouts.tsv",50,0,0,0
"insilico_size100_2_goldstandard_matrix.tsv",50,0,0,0
"insilico_size100_2_multifactorial.tsv",50,0,0,0
"insilico_size100_1_knockdowns.tsv",50,0,0,0
"insilico_size100_2_multifactorial.tsv",50,0,0,0
"insilico_size100_3_multifactorial.tsv",50,0,0,0
